gene_name,l2fc_protein_starvedtorich,condition,cellline,RNA_pvalue,l2fc_RNA_starvedtorich,l2fc_protein_per_RNA,,,,,
ARFGAP3,-0.22790526,Arg,293T,6.36E-06,1.158510803,-1.386416063,,,,,
ARFIP1,-1.009213925,Arg,293T,0.060369301,0.912248766,-1.921462691,,,,,
ARFIP2,1.38740343,Arg,293T,NA,NA,NA,,,,,
ARG2,-1.80326362,Arg,293T,1.54E-05,1.21061904,-3.01388266,,,,,
ARGLU1,-0.308192755,Arg,293T,0.296180802,-0.499118402,0.190925647,,,,,
ARHGEF2,-2.243209028,Arg,293T,NA,NA,NA,,,,,
ARHGEF6,-1.316357345,Arg,293T,NA,NA,NA,,,,,
ARHGEF7,-3.450077816,Arg,293T,NA,NA,NA,,,,,
ADPRS,-0.053377683,Arg,293T,NA,NA,NA,,,,,
ARID1A,-2.275920457,Arg,293T,NA,NA,NA,,,,,
ARID1B,-1.854540532,Arg,293T,NA,NA,NA,,,,,
ARIH2,-1.491058025,Arg,293T,0.697356599,-0.225054355,-1.26600367,,,,,
ARID3B,-0.12675771,Arg,293T,NA,NA,NA,,,,,
ARID4B,-3.537623758,Arg,293T,0.005110653,0.705235012,-4.24285877,,,,,
AKR7A2,-0.143544282,Arg,293T,3.83E-06,-1.693144576,1.549600294,,,,,
ARL1,-1.75125132,Arg,293T,0.589925578,0.123942049,-1.875193369,,,,,
ARL15,-2.500911883,Arg,293T,NA,NA,NA,,,,,
ARL2,-1.968073777,Arg,293T,0.049111299,-0.651214985,-1.316858792,,,,,
ARL3,-0.97489801,Arg,293T,0.024639554,-0.499871824,-0.475026186,,,,,
ARL8B,-0.791851225,Arg,293T,NA,NA,NA,,,,,
ARMC1,-0.361624677,Arg,293T,NA,NA,NA,,,,,
ARMC6,-1.515163685,Arg,293T,NA,NA,NA,,,,,
ARMC9,-2.579263363,Arg,293T,0.773023606,-0.2388794,-2.340383963,,,,,
ARMT1,-0.59233698,Arg,293T,0.020375953,-1.344094413,0.751757433,,,,,
ARMCX3,-0.88867269,Arg,293T,5.08E-04,1.760314198,-2.648986888,,,,,
RPS19BP1,-0.810113687,Arg,293T,0.083484725,-0.613554247,-0.196559441,,,,,
ACTR10,-1.64787577,Arg,293T,4.31E-05,0.598859093,-2.246734863,,,,,
ARPP19,-1.61483494,Arg,293T,0.176666795,-0.720215662,-0.894619278,,,,,
ACTR2,-0.70822456,Arg,293T,0.401201234,-0.297510799,-0.410713761,,,,,
ACTR3,-1.198345122,Arg,293T,0.042677723,-1.483405834,0.285060712,,,,,
ARPC5L,-0.968673775,Arg,293T,0.010685128,-1.05012573,0.081451955,,,,,
ACTR6,-1.394242777,Arg,293T,1.53E-04,-1.211559283,-0.182683495,,,,,
ACTR8,-2.606649692,Arg,293T,0.125985228,-0.662956742,-1.943692951,,,,,
